_id,text
5f6245e9a084761f4fac7741,RT @SenTedCruz: REMINDER: The Chinese Communist Party allowed #COVID19 to go global &amp; secretly stockpiled medical supplies. Then they launc…
5f6245e9a084761f4fac7743,"RT @juliaioffe: Last night when I was in the ER, I asked the absolutely wonderful doctor taking care of me if, five weeks into #COVID19, I…"
5f6245e9a084761f4fac7745,write down your intuitions then go back to them with a clear mind
5f6245e9a084761f4fac7747,RT @Independent: Coronation Street filming disrupted as actor tests positive for coronavirus https://t.co/QbfOyAn76G
5f6245e9a084761f4fac7749,Happening now!! https://t.co/OazyRzso03
5f6245e9a084761f4fac774b,"RT @GenFlynn: When something is so vital to America’s survival...”Everyone needs to know the truth”⁩

China has no other intention than to…"
5f6245e9a084761f4fac774d,🔥🔥🔥⚠️⚠️⚠️ German doctors come right out and say that COVID is an ‘organised crime’!
5f6245e9a084761f4fac774f,"If the MASK &gt;  VACCINE at protecting people that want protection, then we are safe &amp; can go back to normal. Right?… https://t.co/DwH79EcK69"
5f6245e9a084761f4fac7751,@KmadGaming03 @elsporkie @TomShor02643153 @XxtatflyxX @TRXGGA_TIM @KEEMSTAR @NelkFilmz No but I’m saying he’s at a… https://t.co/Aze0SZH9sX
5f6245e9a084761f4fac7753,"Widespread redundancies at Historic Royal Palaces following £100m Covid-related losses
https://t.co/32NwHuRruA… https://t.co/TvnjVaWxDY"
5f6245e9a084761f4fac7755,"@santin_yoann @CascalesLab @LalouxLab Awesome, sounds like fun!"
5f6245e9a084761f4fac7757,"RT @wolfblitzer: This overnight update: The Johns Hopkins University now says 1,422 Americans died yesterday from coronavirus."
5f6245e9a084761f4fac7759,"RT @crampell: oddly, 57% of Republicans say Trump made the right decision not to disclose the severity of covid to the public; but exact sa…"
5f6245e9a084761f4fac775b,RT @realTuckFrumper: Trump Calls Dems “Heartless” Despite Senate’s Refusal to Vote on Dem Coronavirus Relief Proposal https://t.co/qBMJWQVr…
5f6245e9a084761f4fac775d,"""Mitigation strategies"" still prioritizing hygiene theater, surface disinfection, magic 6ft rule over ventilation"
5f6245e9a084761f4fac775f,"RT @HillaryClinton: When a president has failed our kids the way this one has, he shouldn't be president anymore."
5f6245e9a084761f4fac7761,Louisiana reporting 508 additional coronavirus cases and 18 new deaths on Wednesday. Number of presumed recovered p… https://t.co/Xmts0P4UZc
5f6245e9a084761f4fac7763,Surely not?! 🤔😂
5f6245e9a084761f4fac7765,"RT @mdvrdrmn: @o_rips @am_mirk I cannot believe my ears... the director of the CDC is saying this!? This is on their own website ""Face Mask…"
5f6245e9a084761f4fac7767,"RT @HillaryClinton: When a president has failed our kids the way this one has, he shouldn't be president anymore."
5f6245e9a084761f4fac7769,"RT @DrEricDing: INDOOR DINING in a nutshell:

⚠️ Is it safe to remove our masks to eat or drink in indoor bars &amp; restaurants &amp; other enclos…"
5f6245e9a084761f4fac776b,"RT @JesseKellyDC: If the controlled messaging about this virus doesn’t creep you out, you’re not paying attention. Orwellian stuff."
5f6245e9a084761f4fac776d,"RT @kylegriffin1: What does it say about Trump's confidence in his own leadership abilities that he felt he had to lie about COVID so as no…"
5f6245e9a084761f4fac776f,"RT @IndependentSage: Independent SAGE member ""Professor Pagel told LBC that the country was in an ""incredibly dangerous situation"" because…"
5f6245e9a084761f4fac7771,What Do You Say About COVID-19?
5f6245e9a084761f4fac7773,"Virginia Nurses Association Action Center - support of Va. HB 5028 - COVID-19 workers' compensationhttps://app.must… https://t.co/afES0Pv8cf"
5f6245e9a084761f4fac7775,"@TheCryptoCandy I hate Corona haha 

Cancelled here too https://t.co/6Eovdn9QTd"
5f6245eaa084761f4fac7777,RT @CupofJoeintheD2: @GrandpaSnarky @grannybellasmom @sevedabo @PaulHardersen @zooming159 @1ladyAMY @Ikejackson @CoachJBell66 @Sam_Vote_FBR…
5f6245eaa084761f4fac7779,"@LitterickB @Acyn So if you are wearing a mask and contract #covid and I dont wear a mask and don't have #covid. It… https://t.co/n8XhB4lhYM"
5f6245eaa084761f4fac777b,@EdgeofSports Dave stfu if you can’t even do basic research on covid.
5f6245eaa084761f4fac777d,"RT @thelastPatriot7: @lawyer4laws Imm sorry what is this then?

https://t.co/bADtSTtILz"
5f6245eaa084761f4fac777f,RT @DLoesch: I guess whistleblowers aren’t cool anymore
5f6245eaa084761f4fac7781,"RT @drdavidsamadi: Just as a reminder, the majority of people who catch COVID-19 will make a full recovery."
5f6245eaa084761f4fac7783,"RT @travisakers: NEW: Multiple White House staff have tested positive for COVID-19 today. The White House press pool was just informed, but…"
5f6245eaa084761f4fac7785,"@realDonaldTrump The books RAGE, TOO MUCH &amp; NEVER ENOUGH, DISLOYAL and the documentary UNFIT will tell you all you… https://t.co/elAhFWbJ2a"
5f6245eaa084761f4fac7787,RT @MeidasTouch: Donald Trump admitted his plan to deal with coronavirus is to let millions of people unnecessarily die.
5f6245eaa084761f4fac7789,"@TeamTrump @Mike_Pence @realDonaldTrump 1,400 new deaths from Covid-19 recorded yesterday!"
5f6245eaa084761f4fac778b,RT @StuartLock: This applies to no teacher I work with or know. https://t.co/YKcHMlM794
5f6245eaa084761f4fac778d,Normalize getting tested for COVID-19
5f6245eaa084761f4fac778f,"RT @RawStory: Devastating research estimates 100,000 Americans would be alive if Trump had even an average COVID-19 response https://t.co/B…"
5f6245eaa084761f4fac7791,@saskafternoon Now I have to change my hairstyle. Thanks Karens!!
5f6245eaa084761f4fac7793,@ConnorHapper Sounds like if you have eligibility and are covid free you have a good chance of being a walk-on.
5f6245eaa084761f4fac7795,"RT @ianmSC: This is complete insanity. First masks ""may"" protect others, now they're ""more guaranteed” to protect YOU than a vaccine?

If t…"
5f6245eaa084761f4fac7797,RT @fionabeaty: I wrote a thing! Have been thinking a lot about how the #forestfiresmoke we are breathing now brings us closer to understan…
5f6245eaa084761f4fac7799,"@AngelaK34204696 Exactly. 
#Coronavirus: A natural virus inherent in all human beings.

#COVID19: Man made failed b… https://t.co/1Di8r5Td30"
5f6245eaa084761f4fac779b,"RT @PPersnickety: Trump's townhall answers to questions about #COVID19 show it's a huge weakness heading into debates! #TownHallTrainWreck…"
5f6245eaa084761f4fac779d,RT @prayingmedic: When controlling the narrative is all that matters.
5f6245eaa084761f4fac779f,RT @kasie: Attn anyone who isn’t wearing a mask
5f6245eaa084761f4fac77a1,RT @DLoesch: I guess whistleblowers aren’t cool anymore https://t.co/0K7GLGgOCk
5f6245eaa084761f4fac77a3,"RT @therecount: CDC Director Dr. Robert Redfield makes it as clear as he can: ""This face mask is more guaranteed to protect me against COVI…"
5f6245eaa084761f4fac77a5,@WriterWillsy @NovelFinds Love them!
5f6245eaa084761f4fac77a7,RT @AkamatsuJjh: @RexChapman @JenH0821 I currently live in (densely populated) Japan. Mask-wearing has been a health practice far before Co…
5f6245eaa084761f4fac77a9,"RT @AngrierWHStaff: So far this morning, Trump has RT’d a video of a Fox News doctor lying about Dr. Fauci downplaying the transmissibility…"
5f6245eaa084761f4fac77ab,RT @Drfattyliver: Dear @BorisJohnson. My wife and I are both NHS consultants. Our child is now off school for 14 days due to a child in her…
5f6245eba084761f4fac77ad,RT @kyantewilson: Must 🙂 be 🙂 nice 🙂 to 🙂 live 🙂 in 🙂 a 🙂 country 🙂 that 🙂 isn’t 🙂 infested 🙂 with 🙂 imbeciles 🙂
5f6245eba084761f4fac77af,"RT @sassycrass: Oh my God, the TONE. This is like the third headline I've read OPENLY complaining about the absence of Black African death.…"
5f6245eba084761f4fac77b1,RT @nowthisnews: Watch this doctor debunk a popular COVID-19 myth often pushed by Trump supporters (via IG @/eric2687) https://t.co/cLbNzlW…
5f6245eba084761f4fac77b3,"RT @HillaryClinton: When a president has failed our kids the way this one has, he shouldn't be president anymore."
5f6245eba084761f4fac77b5,"#COVID19 has decimated hotel businesses and 6 months into the pandemic, 4 out of 10 hotel employees are still not w… https://t.co/0gLtjDCAWg"
5f6245eba084761f4fac77b7,I hope the Covid slows down because I have about 100 D1 prospects from Europe and Australia that would make a lot o… https://t.co/ZNcFZMMLiC
5f6245eba084761f4fac77b9,"RT @ianmSC: This is complete insanity. First masks ""may"" protect others, now they're ""more guaranteed” to protect YOU than a vaccine?

If t…"
5f6245eba084761f4fac77bb,"RT @RuchiraC: No data of migrant workers. No data of 
healthcare staff who have been affected by and died of COVID. 

That's why no Questio…"
5f6245eba084761f4fac77bd,"RT @MirandaMalins: I've finished my second novel - the prequel to #ThePuritanPrincess👑! It's only a first draft but IT EXISTS! And after th…"
