_id,text
5f6216c2cfe6f0c40622f4ab,"RT @iamsuffian: Odisha saw the biggest single-day spike in #coronavirus cases with 4,270 fresh positive cases being reported in the last 24…"
5f6216c2cfe6f0c40622f4ad,RT @CdnHumanRights: People with disabilities are still bearing a disproportionate impact of the pandemic. More must be done to protect thei…
5f6216c2cfe6f0c40622f4af,"This week we're seeing rising case counts, crowded classrooms and slow, insufficient testing. And it's only Septemb… https://t.co/Kij0NR5zPZ"
5f6216c2cfe6f0c40622f4b1,"RT @aldotcom: When will Alabama’s coronavirus mask order end? No ""magic number,"" Gov. Kay Ivey says.

The order is currently set to end Oct…"
5f6216c2cfe6f0c40622f4b3,"RT @NatCitizens: FUDGING THE NUMBERS: The daily meltdown over 'cases' has been dishonest from the start. Up to 90% of those testing positiv…"
5f6216c2cfe6f0c40622f4b5,"#f6b3738b589d537ea023b7f07a40e8c1 #foxnewshealth Coronavirus 'sexual distancing,' decrease in STD testing sees drop… https://t.co/l1sQjsNG8H"
5f6216c2cfe6f0c40622f4b7,"RT @GenFlynn: When something is so vital to America’s survival...”Everyone needs to know the truth”⁩

China has no other intention than to…"
5f6216c2cfe6f0c40622f4b9,"RT @USF_TEAM: Lacs of aspirants are rendering over-time services as Covid Warriors in various levels 
(doctors, staff, Lower level administ…"
5f6216c2cfe6f0c40622f4bb,RT @MariaBartiromo: Eli Lilly CEO on COVID-19 antibody study: This is an important day in fight against coronavirus https://t.co/aVUh9XOABZ…
5f6216c2cfe6f0c40622f4bd,"Coronavirus 'sexual distancing,' decrease in STD testing sees drop in reported cases during pandemic… https://t.co/yQZf4NR0mF"
5f6216c2cfe6f0c40622f4bf,HAPPENING NOW: Should CT join a regional carbon tax? @Climate_Center updating the plans right now. The group says i… https://t.co/jFpoH9zmBJ
5f6216c2cfe6f0c40622f4c1,"@rod11 @donwinslow Let's not forget the loved ones sent to the hospital that didn't have COVID but also couldn't ha… https://t.co/DlKoJ6Ygg6"
5f6216c2cfe6f0c40622f4c3,"RT @Kyle_Feldscher: There are approximately 328.2 million people in the US.

To get to the low end of herd immunity, about 60% of the popul…"
