,text
0,reminder chinese communist party allowed go global amp secretly stockpiled medical supplies launc
1,last night asked absolutely wonderful doctor taking five weeks
2,write intuitions go back clear mind
3,coronation street filming disrupted actor tests positive coronavirus
4,happening
5,something vital americas survivaleveryone needs know truthchina intention
6,german doctors right say covid organised crime
7,mask gt vaccine protecting people protection safe amp go back normal right
8,saying hes
9,widespread redundancies historic royal palaces following covidrelated losses
10,awesome sounds like fun
11,overnight update johns hopkins university says americans died yesterday coronavirus
12,oddly republicans say trump made right decision disclose severity covid public exact
13,trump calls dems heartless despite senates refusal vote coronavirus relief proposal
14,mitigation strategies still prioritizing hygiene theater surface disinfection magic ft rule ventilation
15,president failed kids way shouldnt president anymore
16,louisiana reporting additional coronavirus cases new deaths wednesday number presumed recovered p
17,surely
18,believe ears director cdc saying website mask
19,president failed kids way shouldnt president anymore
20,indoor dining nutshell safe remove masks eat drink indoor bars amp restaurants amp enclos
21,controlled messaging virus doesnt creep youre paying attention orwellian stuff
22,say trumps confidence leadership abilities felt lie covid
23,independent sage member professor pagel told lbc country incredibly dangerous situation
24,say covid19
25,virginia nurses association action center support hb covid19 workers compensation
26,hate corona haha cancelled
27,
28,wearing mask contract dont wear mask dont
29,dave stfu cant even basic research covid
30,imm sorry
31,guess whistleblowers arent cool anymore
32,reminder majority people catch covid19 make full recovery
33,new multiple white house staff tested positive covid19 today white house press pool informed
34,books rage much amp never enough disloyal documentary unfit tell
35,donald trump admitted plan deal coronavirus let millions people unnecessarily
36,new deaths covid19 recorded yesterday
37,applies teacher work know
38,normalize getting tested covid19
39,devastating research estimates americans would alive trump even average covid19 response
40,change hairstyle thanks karens
41,sounds like eligibility covid free good chance walkon
42,complete insanity first masks may protect others theyre guaranteed protect vaccineif
43,wrote thing thinking lot breathing brings us closer understan
44,exactly natural virus inherent human beings made failed b
45,trumps townhall answers questions show huge weakness heading debates
46,controlling narrative matters
47,attn anyone isnt wearing mask
48,guess whistleblowers arent cool anymore
49,cdc director dr robert redfield makes clear mask guaranteed protect covi
50,love
51,currently live densely populated japan maskwearing health practice far co
52,far morning trump rtd video fox news doctor lying dr fauci downplaying transmissibility
53,dear wife nhs consultants child school days due child
54,must nice live country isnt infested imbeciles
55,oh god tone like third headline ive read openly complaining absence black african death
56,watch doctor debunk popular covid19 myth often pushed trump supporters via ig eric2687
57,president failed kids way shouldnt president anymore
58,decimated businesses months pandemic employees still w
59,hope covid slows d1 prospects europe australia would make lot
60,complete insanity first masks may protect others theyre guaranteed protect vaccineif
61,data migrant workers data healthcare staff affected died covid thats questio
62,ive finished second novel prequel first draft exists th
