,text
0,"{'neg': 0.0, 'neu': 0.604, 'pos': 0.396, 'compound': 0.7096}"
1,"{'neg': 0.0, 'neu': 0.794, 'pos': 0.206, 'compound': 0.3818}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.0772}"
4,"{'neg': 0.316, 'neu': 0.684, 'pos': 0.0, 'compound': -0.5719}"
5,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.2732}"
6,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
7,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.296}"
8,"{'neg': 0.21, 'neu': 0.645, 'pos': 0.145, 'compound': -0.2023}"
9,"{'neg': 0.174, 'neu': 0.826, 'pos': 0.0, 'compound': -0.2732}"
10,"{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.296}"
11,"{'neg': 0.148, 'neu': 0.547, 'pos': 0.305, 'compound': 0.4588}"
12,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}"
13,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
14,"{'neg': 0.152, 'neu': 0.606, 'pos': 0.242, 'compound': 0.296}"
15,"{'neg': 0.234, 'neu': 0.532, 'pos': 0.234, 'compound': 0.0}"
16,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
17,"{'neg': 0.0, 'neu': 0.467, 'pos': 0.533, 'compound': 0.6908}"
18,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}"
19,"{'neg': 0.0, 'neu': 0.763, 'pos': 0.237, 'compound': 0.4767}"
20,"{'neg': 0.234, 'neu': 0.468, 'pos': 0.298, 'compound': 0.2732}"
21,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
22,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}"
23,"{'neg': 0.172, 'neu': 0.828, 'pos': 0.0, 'compound': -0.3612}"
24,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
25,"{'neg': 0.199, 'neu': 0.301, 'pos': 0.5, 'compound': 0.7184}"
26,"{'neg': 0.2, 'neu': 0.8, 'pos': 0.0, 'compound': -0.3612}"
27,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
28,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
29,"{'neg': 0.377, 'neu': 0.457, 'pos': 0.166, 'compound': -0.5719}"
30,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
31,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
32,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
33,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
34,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
35,"{'neg': 0.0, 'neu': 0.602, 'pos': 0.398, 'compound': 0.5106}"
36,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
37,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
38,"{'neg': 0.0, 'neu': 0.65, 'pos': 0.35, 'compound': 0.5106}"
39,"{'neg': 0.0, 'neu': 0.821, 'pos': 0.179, 'compound': 0.3412}"
40,"{'neg': 0.457, 'neu': 0.198, 'pos': 0.345, 'compound': -0.2796}"
41,"{'neg': 0.129, 'neu': 0.68, 'pos': 0.19, 'compound': 0.2263}"
42,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
43,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
44,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
45,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
46,"{'neg': 0.0, 'neu': 0.556, 'pos': 0.444, 'compound': 0.7506}"
47,"{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.5267}"
48,"{'neg': 0.0, 'neu': 0.805, 'pos': 0.195, 'compound': 0.4404}"
49,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.5106}"
50,"{'neg': 0.615, 'neu': 0.385, 'pos': 0.0, 'compound': -0.4939}"
51,"{'neg': 0.301, 'neu': 0.585, 'pos': 0.114, 'compound': -0.3027}"
52,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
53,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.5423}"
54,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
55,"{'neg': 0.275, 'neu': 0.562, 'pos': 0.163, 'compound': -0.25}"
56,"{'neg': 0.114, 'neu': 0.57, 'pos': 0.317, 'compound': 0.4951}"
57,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
58,"{'neg': 0.0, 'neu': 0.756, 'pos': 0.244, 'compound': 0.4404}"
59,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
60,"{'neg': 0.18, 'neu': 0.607, 'pos': 0.214, 'compound': 0.1705}"
61,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
62,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.5994}"
63,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
64,"{'neg': 0.384, 'neu': 0.377, 'pos': 0.239, 'compound': -0.3182}"
65,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
66,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
67,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
68,"{'neg': 0.0, 'neu': 0.643, 'pos': 0.357, 'compound': 0.6124}"
69,"{'neg': 0.222, 'neu': 0.556, 'pos': 0.222, 'compound': 0.0}"
70,"{'neg': 0.38, 'neu': 0.62, 'pos': 0.0, 'compound': -0.5994}"
71,"{'neg': 0.0, 'neu': 0.735, 'pos': 0.265, 'compound': 0.5574}"
72,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
73,"{'neg': 0.0, 'neu': 0.787, 'pos': 0.213, 'compound': 0.4019}"
74,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
75,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
76,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
77,"{'neg': 0.231, 'neu': 0.769, 'pos': 0.0, 'compound': -0.4588}"
78,"{'neg': 0.295, 'neu': 0.513, 'pos': 0.192, 'compound': -0.1531}"
79,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
80,"{'neg': 0.398, 'neu': 0.602, 'pos': 0.0, 'compound': -0.6486}"
81,"{'neg': 0.152, 'neu': 0.848, 'pos': 0.0, 'compound': -0.3612}"
82,"{'neg': 0.22, 'neu': 0.78, 'pos': 0.0, 'compound': -0.4767}"
83,"{'neg': 0.228, 'neu': 0.617, 'pos': 0.154, 'compound': -0.296}"
84,"{'neg': 0.0, 'neu': 0.283, 'pos': 0.717, 'compound': 0.8225}"
85,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
86,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
87,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
88,"{'neg': 0.0, 'neu': 0.833, 'pos': 0.167, 'compound': 0.25}"
89,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
90,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.4019}"
91,"{'neg': 0.0, 'neu': 0.792, 'pos': 0.208, 'compound': 0.2732}"
92,"{'neg': 0.133, 'neu': 0.788, 'pos': 0.079, 'compound': -0.2263}"
93,"{'neg': 0.0, 'neu': 0.69, 'pos': 0.31, 'compound': 0.5574}"
94,"{'neg': 0.0, 'neu': 0.567, 'pos': 0.433, 'compound': 0.7269}"
95,"{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.4098}"
96,"{'neg': 0.368, 'neu': 0.632, 'pos': 0.0, 'compound': -0.703}"
97,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
98,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
99,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
100,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.2732}"
101,"{'neg': 0.677, 'neu': 0.323, 'pos': 0.0, 'compound': -0.8885}"
102,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
103,"{'neg': 0.0, 'neu': 0.867, 'pos': 0.133, 'compound': 0.25}"
104,"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4019}"
105,"{'neg': 0.163, 'neu': 0.667, 'pos': 0.17, 'compound': 0.0258}"
106,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
107,"{'neg': 0.324, 'neu': 0.676, 'pos': 0.0, 'compound': -0.34}"
108,"{'neg': 0.306, 'neu': 0.694, 'pos': 0.0, 'compound': -0.6597}"
109,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.6369}"
110,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
111,"{'neg': 0.268, 'neu': 0.732, 'pos': 0.0, 'compound': -0.296}"
112,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
113,"{'neg': 0.089, 'neu': 0.364, 'pos': 0.547, 'compound': 0.8834}"
114,"{'neg': 0.294, 'neu': 0.706, 'pos': 0.0, 'compound': -0.4874}"
115,"{'neg': 0.147, 'neu': 0.853, 'pos': 0.0, 'compound': -0.2263}"
116,"{'neg': 0.187, 'neu': 0.645, 'pos': 0.168, 'compound': -0.0772}"
117,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
118,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.2732}"
119,"{'neg': 0.208, 'neu': 0.792, 'pos': 0.0, 'compound': -0.2732}"
120,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.4019}"
121,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
122,"{'neg': 0.0, 'neu': 0.526, 'pos': 0.474, 'compound': 0.5574}"
123,"{'neg': 0.0, 'neu': 0.707, 'pos': 0.293, 'compound': 0.4404}"
124,"{'neg': 0.188, 'neu': 0.486, 'pos': 0.326, 'compound': 0.25}"
125,"{'neg': 0.0, 'neu': 0.424, 'pos': 0.576, 'compound': 0.7999}"
126,"{'neg': 0.792, 'neu': 0.208, 'pos': 0.0, 'compound': -0.5859}"
127,"{'neg': 0.0, 'neu': 0.882, 'pos': 0.118, 'compound': 0.1531}"
128,"{'neg': 0.247, 'neu': 0.753, 'pos': 0.0, 'compound': -0.5574}"
129,"{'neg': 0.0, 'neu': 0.667, 'pos': 0.333, 'compound': 0.7184}"
130,"{'neg': 0.166, 'neu': 0.701, 'pos': 0.134, 'compound': -0.128}"
131,"{'neg': 0.0, 'neu': 0.877, 'pos': 0.123, 'compound': 0.1027}"
132,"{'neg': 0.0, 'neu': 0.484, 'pos': 0.516, 'compound': 0.4939}"
133,"{'neg': 0.254, 'neu': 0.462, 'pos': 0.283, 'compound': 0.128}"
134,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.25}"
135,"{'neg': 0.55, 'neu': 0.248, 'pos': 0.203, 'compound': -0.8402}"
136,"{'neg': 0.336, 'neu': 0.664, 'pos': 0.0, 'compound': -0.6187}"
137,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
138,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
139,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
