,text
0,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
1,"{'neg': 0.0, 'neu': 0.71, 'pos': 0.29, 'compound': 0.6486}"
2,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
3,"{'neg': 0.0, 'neu': 0.761, 'pos': 0.239, 'compound': 0.296}"
4,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
5,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
6,"{'neg': 0.405, 'neu': 0.595, 'pos': 0.0, 'compound': -0.5267}"
7,"{'neg': 0.0, 'neu': 0.778, 'pos': 0.222, 'compound': 0.25}"
8,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
9,"{'neg': 0.199, 'neu': 0.589, 'pos': 0.212, 'compound': 0.046}"
10,"{'neg': 0.0, 'neu': 0.791, 'pos': 0.209, 'compound': 0.4404}"
11,"{'neg': 0.643, 'neu': 0.357, 'pos': 0.0, 'compound': -0.8957}"
12,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
13,"{'neg': 0.0, 'neu': 0.738, 'pos': 0.262, 'compound': 0.4939}"
14,"{'neg': 0.0, 'neu': 0.889, 'pos': 0.111, 'compound': 0.128}"
15,"{'neg': 0.0, 'neu': 0.286, 'pos': 0.714, 'compound': 0.3612}"
16,"{'neg': 0.14, 'neu': 0.62, 'pos': 0.24, 'compound': 0.3182}"
17,"{'neg': 0.187, 'neu': 0.645, 'pos': 0.168, 'compound': -0.0772}"
18,"{'neg': 0.192, 'neu': 0.615, 'pos': 0.192, 'compound': 0.0}"
19,"{'neg': 0.187, 'neu': 0.813, 'pos': 0.0, 'compound': -0.3182}"
20,"{'neg': 0.0, 'neu': 0.532, 'pos': 0.468, 'compound': 0.5448}"
21,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.2732}"
