,text
0,: REMINDER: The Chinese Communist Party allowed to go global &amp; secretly stockpiled medical supplies. Then they launc
1,": Last night when I was in the ER, I asked the absolutely wonderful doctor taking care of me if, five weeks into , I"
2,write down your intuitions then go back to them with a clear mind
3,: Coronation Street filming disrupted as actor tests positive for coronavirus
4,Happening now!!
5,: When something is so vital to Americas survival...Everyone needs to know the truthChina has no other intention than to
6,German doctors come right out and say that COVID is an organised crime!
7,"If the MASK &gt; VACCINE at protecting people that want protection, then we are safe &amp; can go back to normal. Right?"
8,No but Im saying hes at a
9,Widespread redundancies at Historic Royal Palaces following m Covid-related losses
10,"Awesome, sounds like fun!"
11,: This overnight update: The Johns Hopkins University now says Americans died yesterday from coronavirus.
12,": oddly, % of Republicans say Trump made the right decision not to disclose the severity of covid to the public; but exact sa"
13,: Trump Calls Dems Heartless Despite Senates Refusal to Vote on Dem Coronavirus Relief Proposal
14,"""Mitigation strategies"" still prioritizing hygiene theater, surface disinfection, magic ft rule over ventilation"
15,": When a president has failed our kids the way this one has, he shouldn't be president anymore."
16,Louisiana reporting additional coronavirus cases and new deaths on Wednesday. Number of presumed recovered p
17,Surely not?!
18,": I cannot believe my ears... the director of the CDC is saying this!? This is on their own website ""Face Mask"
19,": When a president has failed our kids the way this one has, he shouldn't be president anymore."
20,: INDOOR DINING in a nutshell: Is it safe to remove our masks to eat or drink in indoor bars &amp; restaurants &amp; other enclos
21,": If the controlled messaging about this virus doesnt creep you out, youre not paying attention. Orwellian stuff."
22,: What does it say about Trump's confidence in his own leadership abilities that he felt he had to lie about COVID so as no
23,": Independent SAGE member ""Professor Pagel told LBC that the country was in an ""incredibly dangerous situation"" because"
24,What Do You Say About COVID-19?
25,Virginia Nurses Association Action Center - support of Va. HB - COVID-19 workers' compensation
26,I hate Corona haha Cancelled here too
27,:
28,So if you are wearing a mask and contract and I dont wear a mask and don't have . It
29,Dave stfu if you cant even do basic research on covid.
30,: Imm sorry what is this then?
31,: I guess whistleblowers arent cool anymore
32,": Just as a reminder, the majority of people who catch COVID-19 will make a full recovery."
33,": NEW: Multiple White House staff have tested positive for COVID-19 today. The White House press pool was just informed, but"
34,"The books RAGE, TOO MUCH &amp; NEVER ENOUGH, DISLOYAL and the documentary UNFIT will tell you all you"
35,: Donald Trump admitted his plan to deal with coronavirus is to let millions of people unnecessarily die.
36,new deaths from Covid-19 recorded yesterday!
37,: This applies to no teacher I work with or know.
38,Normalize getting tested for COVID-19
39,: Devastating research estimates Americans would be alive if Trump had even an average COVID-19 response
40,Now I have to change my hairstyle. Thanks Karens!!
41,Sounds like if you have eligibility and are covid free you have a good chance of being a walk-on.
42,": This is complete insanity. First masks ""may"" protect others, now they're ""more guaranteed to protect YOU than a vaccine?If t"
43,: I wrote a thing! Have been thinking a lot about how the we are breathing now brings us closer to understan
44,Exactly. : A natural virus inherent in all human beings.: Man made failed b
45,: Trump's townhall answers to questions about show it's a huge weakness heading into debates!
46,: When controlling the narrative is all that matters.
47,: Attn anyone who isnt wearing a mask
48,: I guess whistleblowers arent cool anymore
49,": CDC Director Dr. Robert Redfield makes it as clear as he can: ""This face mask is more guaranteed to protect me against COVI"
50,Love them!
51,: I currently live in (densely populated) Japan. Mask-wearing has been a health practice far before Co
52,": So far this morning, Trump has RTd a video of a Fox News doctor lying about Dr. Fauci downplaying the transmissibility"
53,: Dear . My wife and I are both NHS consultants. Our child is now off school for days due to a child in her
54,: Must be nice to live in a country that isnt infested with imbeciles
55,": Oh my God, the TONE. This is like the third headline I've read OPENLY complaining about the absence of Black African death."
56,: Watch this doctor debunk a popular COVID-19 myth often pushed by Trump supporters (via IG /eric2687)
57,": When a president has failed our kids the way this one has, he shouldn't be president anymore."
58,"has decimated hotel businesses and months into the pandemic, out of hotel employees are still not w"
59,I hope the Covid slows down because I have about D1 prospects from Europe and Australia that would make a lot o
60,": This is complete insanity. First masks ""may"" protect others, now they're ""more guaranteed to protect YOU than a vaccine?If t"
61,: No data of migrant workers. No data of healthcare staff who have been affected by and died of COVID. That's why no Questio
62,: I've finished my second novel - the prequel to ! It's only a first draft but IT EXISTS! And after th
63,: I am sure you will win this battle against Covid-19. Prayers for your speedy recovery Sir
64,"Naval Academy Reports at Least Coronavirus Cases Among Midshipmen, Staff in a Month"
65,: A model showing that Social Distancing (SD) can increase the final size of an outbreak. The model doesn't consider age
66,: Prayers for Sh ji for quick recovery
67,We Have a Lot of Evidence that Its a Fake Story All Over the World German Doctors on COVID-19 -
